beta_para, beta_perp, delta_para, delta_perp, delta, beta, energy
0.0007313720775130,0.0007313720775130,0.0015434191426075,0.0015434191426075,0.0015434191426075,0.0007313720775130,375.6720
0.0006939319933656,0.0006939319933656,0.0015139041604471,0.0015139041604471,0.0015139041604471,0.0006939319933656,381.7480
0.0006575232529525,0.0006575232529525,0.0014831189618416,0.0014831189618416,0.0014831189618416,0.0006575232529525,387.9220
0.0006228892137397,0.0006228892137397,0.0014513321419834,0.0014513321419834,0.0014513321419834,0.0006228892137397,394.1970
0.0005898051849444,0.0005898051849444,0.0014189410158995,0.0014189410158995,0.0014189410158995,0.0005898051849444,400.5730
0.0005583746564690,0.0005583746564690,0.0013860745830642,0.0013860745830642,0.0013860745830642,0.0005583746564690,407.0520
0.0005286284281714,0.0005286284281714,0.0013529788339349,0.0013529788339349,0.0013529788339349,0.0005286284281714,413.6350
0.0005004631375271,0.0005004631375271,0.0013198502706509,0.0013198502706509,0.0013198502706509,0.0005004631375271,420.3260
0.0004738029338594,0.0004738029338594,0.0012868394761758,0.0012868394761758,0.0012868394761758,0.0004738029338594,427.1240
0.0004485645503737,0.0004485645503737,0.0012540493950315,0.0012540493950315,0.0012540493950315,0.0004485645503737,434.0320
