theta,percentage
90.0,
89.90990990990991,
89.81981981981981,
89.72972972972973,
89.63963963963964,
89.54954954954955,
89.45945945945945,
89.36936936936937,
89.27927927927928,
89.1891891891892,
89.09909909909909,
89.009009009009,
88.91891891891892,
88.82882882882883,
88.73873873873873,
88.64864864864865,
88.55855855855856,
88.46846846846847,
88.37837837837837,
88.28828828828829,
88.1981981981982,
88.10810810810811,
88.01801801801801,
87.92792792792793,
87.83783783783784,
87.74774774774775,
87.65765765765765,
87.56756756756756,
87.47747747747748,
87.38738738738739,
87.29729729729729,
87.2072072072072,
87.11711711711712,
87.02702702702703,
86.93693693693693,
86.84684684684684,
86.75675675675676,
86.66666666666667,
86.57657657657657,
86.48648648648648,
86.3963963963964,
86.30630630630631,
86.21621621621621,
86.12612612612612,
86.03603603603604,
85.94594594594595,
85.85585585585585,
85.76576576576576,
85.67567567567568,
85.58558558558559,
85.49549549549549,
85.4054054054054,
85.31531531531532,
85.22522522522523,
85.13513513513513,
85.04504504504504,
84.95495495495496,
84.86486486486487,
84.77477477477477,
84.68468468468468,
84.5945945945946,
84.50450450450451,
84.41441441441441,
84.32432432432432,
84.23423423423424,
84.14414414414415,
84.05405405405405,
83.96396396396396,
83.87387387387388,
83.78378378378379,
83.69369369369369,
83.6036036036036,
83.51351351351352,
83.42342342342343,
83.33333333333333,
83.24324324324324,
83.15315315315316,
83.06306306306307,
82.97297297297297,
82.88288288288288,
82.7927927927928,
82.70270270270271,
82.61261261261261,
82.52252252252252,
82.43243243243244,
82.34234234234235,
82.25225225225225,
82.16216216216216,0.01687249079132042
82.07207207207207,0.01706354798534902
81.98198198198199,0.01725460517937761
81.89189189189189,0.017445662373406206
81.8018018018018,0.0176367195674348
81.71171171171171,0.0178277767614634
81.62162162162163,0.018018833955491993
81.53153153153153,0.01820989114952059
81.44144144144144,0.018398380558359236
81.35135135135135,0.018586869967197887
81.26126126126127,0.018775359376036527
81.17117117117117,0.018963848784875167
81.08108108108108,0.01915502100620583
80.990990990991,0.01934619322753649
80.9009009009009,0.019537365448867153
80.8108108108108,0.019728537670197815
80.72072072072072,0.01991855810740781
80.63063063063063,0.020108578544617797
80.54054054054055,0.020298598981827794
80.45045045045045,0.02048861941903778
80.36036036036036,0.02067141502858176
80.27027027027027,0.020854210638125738
80.18018018018017,0.02103700624766972
80.09009009009009,0.021219801857213692
80.0,0.021402597466757666
79.90990990990991,0.021585393076301647
79.81981981981983,0.021768188685845624
79.72972972972973,0.0219509842953896
79.63963963963964,0.022137710762466248
79.54954954954955,0.022324437229542898
79.45945945945945,0.022511163696619544
79.36936936936937,0.0226978901636962
79.27927927927928,0.022891529518157885
79.1891891891892,0.023085168872619577
79.0990990990991,0.02327880822708127
79.009009009009,0.023472447581542967
78.91891891891892,0.02366608693600466
78.82882882882883,0.02385972629046635
78.73873873873873,0.02405336564492804
78.64864864864865,0.024247004999389733
78.55855855855856,0.02443761966343256
78.46846846846847,0.024628234327475386
78.37837837837839,0.024818848991518216
78.28828828828829,0.02500946365556103
78.1981981981982,0.02519795460079912
78.10810810810811,0.02538644554603721
78.01801801801801,0.0255749364912753
77.92792792792793,0.025763427436513386
77.83783783783784,0.025951918381751468
77.74774774774775,0.026140409326989567
77.65765765765767,0.02632890027222766
77.56756756756756,0.02651739121746574
77.47747747747748,0.02671619181917786
77.38738738738739,0.026914992420889995
77.29729729729729,0.02711379302260212
77.2072072072072,0.027312593624314246
77.11711711711712,0.027513773377520374
77.02702702702703,0.027714953130726513
76.93693693693695,0.02791613288393265
76.84684684684684,0.028117312637138778
76.75675675675676,0.02831722645078324
76.66666666666667,0.02851714026442771
76.57657657657657,0.028717054078072176
76.48648648648648,0.02891696789171664
76.3963963963964,0.029084389256611613
76.30630630630631,0.029251810621506585
76.21621621621622,0.029419231986401548
76.12612612612612,0.029586653351296517
76.03603603603604,0.02975407471619148
75.94594594594595,0.02992149608108645
75.85585585585585,0.03008891744598142
75.76576576576576,0.030256338810876394
75.67567567567568,0.030432568645420304
75.58558558558559,0.03060879847996422
75.49549549549549,0.03078502831450813
75.4054054054054,0.03096125814905205
75.31531531531532,0.03116223558880013
75.22522522522523,0.03136321302854821
75.13513513513513,0.031564190468296296
75.04504504504504,0.03176516790804438
74.95495495495496,0.03196614534779246
74.86486486486487,0.032167122787540546
74.77477477477477,0.032368100227288636
74.68468468468468,0.03256907766703672
74.5945945945946,0.032763900526192845
74.50450450450451,0.03295872338534898
74.41441441441441,0.03315354624450511
74.32432432432432,0.03334836910366123
74.23423423423424,0.03353672176270787
74.14414414414415,0.03372507442175451
74.05405405405405,0.03391342708080114
73.96396396396396,0.03410177973984777
73.87387387387388,0.03429013239889442
73.78378378378379,0.034478485057941044
73.69369369369369,0.03466683771698768
73.6036036036036,0.03485519037603432
73.51351351351352,0.035040336110525254
73.42342342342343,0.03522548184501619
73.33333333333334,0.03541062757950712
73.24324324324324,0.03559577331399807
73.15315315315316,0.03577962502629985
73.06306306306307,0.03596347673860164
72.97297297297297,0.036147328450903425
72.88288288288288,0.036331180163205225
72.7927927927928,0.03651503187550701
72.70270270270271,0.03669888358780882
72.61261261261261,0.036882735300110596
72.52252252252252,0.037066587012412396
72.43243243243244,0.037251192741926724
72.34234234234233,0.03743579847144107
72.25225225225225,0.03762040420095541
72.16216216216216,0.03780500993046975
72.07207207207207,0.03798966592779826
71.98198198198199,0.03817432192512677
71.89189189189189,0.03835897792245527
71.8018018018018,0.03854363391978378
71.71171171171171,0.03873025695808549
71.62162162162161,0.038916879996387196
