# beta  beta  delta  delta  beta  delta  energy
1.202932468655695938e-03 1.202932468655695938e-03 4.021538039243720969e-03 4.021538039243720969e-03 1.202932468655695938e-03 4.021538039243720969e-03 2.833900460618145303e+02
1.202858043241799039e-03 1.202858043241799039e-03 4.020688885018911148e-03 4.020688885018911148e-03 1.202858043241799039e-03 4.020688885018911148e-03 2.834167120638085748e+02
1.202783624540126233e-03 1.202783624540126233e-03 4.019840410712937837e-03 4.019840410712937837e-03 1.202783624540126233e-03 4.019840410712937837e-03 2.834433780658026194e+02
1.202709212550840800e-03 1.202709212550840800e-03 4.018992608996310723e-03 4.018992608996310723e-03 1.202709212550840800e-03 4.018992608996310723e-03 2.834700440677966071e+02
1.202634807274105370e-03 1.202634807274105370e-03 4.018145472588875895e-03 4.018145472588875895e-03 1.202634807274105370e-03 4.018145472588875895e-03 2.834967100697906517e+02
1.202560408710081057e-03 1.202560408710081057e-03 4.017298994261802106e-03 4.017298994261802106e-03 1.202560408710081057e-03 4.017298994261802106e-03 2.835233760717846394e+02
1.202486016858928756e-03 1.202486016858928756e-03 4.016453166831524847e-03 4.016453166831524847e-03 1.202486016858928756e-03 4.016453166831524847e-03 2.835500420737786840e+02
1.202411631720808711e-03 1.202411631720808711e-03 4.015607983158482608e-03 4.015607983158482608e-03 1.202411631720808711e-03 4.015607983158482608e-03 2.835767080757726717e+02
1.202337253295879651e-03 1.202337253295879651e-03 4.014763436148570570e-03 4.014763436148570570e-03 1.202337253295879651e-03 4.014763436148570570e-03 2.836033740777667163e+02
1.202262881584300301e-03 1.202262881584300301e-03 4.013919518745891202e-03 4.013919518745891202e-03 1.202262881584300301e-03 4.013919518745891202e-03 2.836300400797607040e+02
1.202188516586227872e-03 1.202188516586227872e-03 4.013076223934664184e-03 4.013076223934664184e-03 1.202188516586227872e-03 4.013076223934664184e-03 2.836567060817547485e+02
1.202114158301818923e-03 1.202114158301818923e-03 4.012233544734905219e-03 4.012233544734905219e-03 1.202114158301818923e-03 4.012233544734905219e-03 2.836833720837487363e+02
1.202039806731229361e-03 1.202039806731229361e-03 4.011391474198736269e-03 4.011391474198736269e-03 1.202039806731229361e-03 4.011391474198736269e-03 2.837100380857427808e+02
1.201965461874613793e-03 1.201965461874613793e-03 4.010550005415832592e-03 4.010550005415832592e-03 1.201965461874613793e-03 4.010550005415832592e-03 2.837367040877367685e+02
1.201891123732127045e-03 1.201891123732127045e-03 4.009709131502451479e-03 4.009709131502451479e-03 1.201891123732127045e-03 4.009709131502451479e-03 2.837633700897308131e+02
1.201816792303921338e-03 1.201816792303921338e-03 4.008868845604823643e-03 4.008868845604823643e-03 1.201816792303921338e-03 4.008868845604823643e-03 2.837900360917248008e+02
1.201742467590150411e-03 1.201742467590150411e-03 4.008029140897022106e-03 4.008029140897022106e-03 1.201742467590150411e-03 4.008029140897022106e-03 2.838167020937188454e+02
1.201668149590964753e-03 1.201668149590964753e-03 4.007190010576541263e-03 4.007190010576541263e-03 1.201668149590964753e-03 4.007190010576541263e-03 2.838433680957128900e+02
1.201593838306516367e-03 1.201593838306516367e-03 4.006351447866464410e-03 4.006351447866464410e-03 1.201593838306516367e-03 4.006351447866464410e-03 2.838700340977068777e+02
1.201519533736954224e-03 1.201519533736954224e-03 4.005513446008877876e-03 4.005513446008877876e-03 1.201519533736954224e-03 4.005513446008877876e-03 2.838967000997009222e+02
1.201445235882428377e-03 1.201445235882428377e-03 4.004675998268042089e-03 4.004675998268042089e-03 1.201445235882428377e-03 4.004675998268042089e-03 2.839233661016949100e+02
1.201370944743086061e-03 1.201370944743086061e-03 4.003839097922567113e-03 4.003839097922567113e-03 1.201370944743086061e-03 4.003839097922567113e-03 2.839500321036889545e+02
1.201296660319076028e-03 1.201296660319076028e-03 4.003002738271612543e-03 4.003002738271612543e-03 1.201296660319076028e-03 4.003002738271612543e-03 2.839766981056829422e+02
1.201222382610543779e-03 1.201222382610543779e-03 4.002166912626179199e-03 4.002166912626179199e-03 1.201222382610543779e-03 4.002166912626179199e-03 2.840033641076769868e+02
1.201148111617636330e-03 1.201148111617636330e-03 4.001331614311181249e-03 4.001331614311181249e-03 1.201148111617636330e-03 4.001331614311181249e-03 2.840300301096709745e+02
1.201073847340498098e-03 1.201073847340498098e-03 4.000496836661340989e-03 4.000496836661340989e-03 1.201073847340498098e-03 4.000496836661340989e-03 2.840566961116650191e+02
1.200999589779273716e-03 1.200999589779273716e-03 3.999662573022630396e-03 3.999662573022630396e-03 1.200999589779273716e-03 3.999662573022630396e-03 2.840833621136590068e+02
1.200925338934106081e-03 1.200925338934106081e-03 3.998828816747268186e-03 3.998828816747268186e-03 1.200925338934106081e-03 3.998828816747268186e-03 2.841100281156530514e+02
1.200851094805138308e-03 1.200851094805138308e-03 3.997995561195899494e-03 3.997995561195899494e-03 1.200851094805138308e-03 3.997995561195899494e-03 2.841366941176470391e+02
1.200776857392511776e-03 1.200776857392511776e-03 3.997162799730256261e-03 3.997162799730256261e-03 1.200776857392511776e-03 3.997162799730256261e-03 2.841633601196410837e+02
1.200702626696368083e-03 1.200702626696368083e-03 3.996330525718666711e-03 3.996330525718666711e-03 1.200702626696368083e-03 3.996330525718666711e-03 2.841900261216350714e+02
