beta_P3HTpara beta_P3HTperp delta_P3HTpara delta_P3HTperp delta_P3HT beta_P3HT energy_P3HT
0.176887239 0.176887239 0.229082543 0.229082543 0.229082543 0.176887239 27.0413
0.166970844 0.166970844 0.22492324 0.22492324 0.22492324 0.166970844 27.4786
0.157648912 0.157648912 0.220614617 0.220614617 0.220614617 0.157648912 27.9231
0.148740027 0.148740027 0.216155333 0.216155333 0.216155333 0.148740027 28.3747
0.140345931 0.140345931 0.211516302 0.211516302 0.211516302 0.140345931 28.8337
0.132473387 0.132473387 0.206896491 0.206896491 0.206896491 0.132473387 29.3
0.124767213 0.124767213 0.202201467 0.202201467 0.202201467 0.124767213 29.7739
0.117436522 0.117436522 0.197147515 0.197147515 0.197147515 0.117436522 30.2555
0.110859282 0.110859282 0.192006874 0.192006874 0.192006874 0.110859282 30.7449
0.104701607 0.104701607 0.187006099 0.187006099 0.187006099 0.104701607 31.2421
0.098903775 0.098903775 0.182065068 0.182065068 0.182065068 0.098903775 31.7475
0.093460269 0.093460269 0.177185742 0.177185742 0.177185742 0.093460269 32.2609
0.088336132 0.088336132 0.172377343 0.172377343 0.172377343 0.088336132 32.7827
0.08350832 0.08350832 0.167637846 0.167637846 0.167637846 0.08350832 33.313
0.078969872 0.078969872 0.162977038 0.162977038 0.162977038 0.078969872 33.8518
0.074688648 0.074688648 0.158399468 0.158399468 0.158399468 0.074688648 34.3993
0.070649051 0.070649051 0.153875877 0.153875877 0.153875877 0.070649051 34.9557
0.066909835 0.066909835 0.149446491 0.149446491 0.149446491 0.066909835 35.5211
0.063389991 0.063389991 0.145152331 0.145152331 0.145152331 0.063389991 36.0956
0.060067291 0.060067291 0.140971571 0.140971571 0.140971571 0.060067291 36.6794
0.057305826 0.057305826 0.137398108 0.137398108 0.137398108 0.057305826 37.2
0.056930615 0.056930615 0.136907629 0.136907629 0.136907629 0.056930615 37.2727
0.056290312 0.056290312 0.136056133 0.136056133 0.136056133 0.056290312 37.4
0.05396296 0.05396296 0.132955152 0.132955152 0.132955152 0.05396296 37.8755
0.051157391 0.051157391 0.129109048 0.129109048 0.129109048 0.051157391 38.4882
0.048504538 0.048504538 0.12541336 0.12541336 0.12541336 0.048504538 39.1107
0.045893427 0.045893427 0.121834775 0.121834775 0.121834775 0.045893427 39.7432
0.043346933 0.043346933 0.118274945 0.118274945 0.118274945 0.043346933 40.3861
0.040945231 0.040945231 0.114729726 0.114729726 0.114729726 0.040945231 41.0393
0.038694161 0.038694161 0.111235442 0.111235442 0.111235442 0.038694161 41.7031
0.036589174 0.036589174 0.107816338 0.107816338 0.107816338 0.036589174 42.3776
0.034599102 0.034599102 0.104471154 0.104471154 0.104471154 0.034599102 43.063
0.032730534 0.032730534 0.101188022 0.101188022 0.101188022 0.032730534 43.7595
0.03098315 0.03098315 0.097970846 0.097970846 0.097970846 0.03098315 44.4673
0.029348488 0.029348488 0.094774951 0.094774951 0.094774951 0.029348488 45.1865
0.027957748 0.027957748 0.09169602 0.09169602 0.09169602 0.027957748 45.9174
0.026636153 0.026636153 0.088788382 0.088788382 0.088788382 0.026636153 46.66
0.02538024 0.02538024 0.085989556 0.085989556 0.085989556 0.02538024 47.4147
0.024186692 0.024186692 0.083282241 0.083282241 0.083282241 0.024186692 48.1816
0.023066882 0.023066882 0.080664457 0.080664457 0.080664457 0.023066882 48.9609
0.022007419 0.022007419 0.078137568 0.078137568 0.078137568 0.022007419 49.7528
0.021007122 0.021007122 0.075697651 0.075697651 0.075697651 0.021007122 50.5576
0.020057032 0.020057032 0.07335043 0.07335043 0.07335043 0.020057032 51.3753
0.019127632 0.019127632 0.071073269 0.071073269 0.071073269 0.019127632 52.2062
0.018244249 0.018244249 0.068831401 0.068831401 0.068831401 0.018244249 53.0506
0.017450817 0.017450817 0.066648637 0.066648637 0.066648637 0.017450817 53.9087
0.016726025 0.016726025 0.06456291 0.06456291 0.06456291 0.016726025 54.7806
0.016033279 0.016033279 0.062568151 0.062568151 0.062568151 0.016033279 55.6667
0.015372547 0.015372547 0.060647866 0.060647866 0.060647866 0.015372547 56.567
0.014745616 0.014745616 0.058800314 0.058800314 0.058800314 0.014745616 57.482
0.014146834 0.014146834 0.057029895 0.057029895 0.057029895 0.014146834 58.4117
0.013560692 0.013560692 0.055327832 0.055327832 0.055327832 0.013560692 59.3564
0.012995958 0.012995958 0.053690703 0.053690703 0.053690703 0.012995958 60.3165
0.012434747 0.012434747 0.052124202 0.052124202 0.052124202 0.012434747 61.2921
0.011849322 0.011849322 0.050592662 0.050592662 0.050592662 0.011849322 62.2834
0.011292956 0.011292956 0.049077746 0.049077746 0.049077746 0.011292956 63.2908
0.010762039 0.010762039 0.04760075 0.04760075 0.04760075 0.010762039 64.3145
0.010252563 0.010252563 0.046160457 0.046160457 0.046160457 0.010252563 65.3547
0.009768267 0.009768267 0.044756285 0.044756285 0.044756285 0.009768267 66.4118
0.009307913 0.009307913 0.043392034 0.043392034 0.043392034 0.009307913 67.4859
0.008866111 0.008866111 0.042065562 0.042065562 0.042065562 0.008866111 68.5775
0.008445386 0.008445386 0.040774622 0.040774622 0.040774622 0.008445386 69.6867
0.008045242 0.008045242 0.039520033 0.039520033 0.039520033 0.008045242 70.8138
0.007664763 0.007664763 0.038303455 0.038303455 0.038303455 0.007664763 71.9591
0.007297594 0.007297594 0.037122181 0.037122181 0.037122181 0.007297594 73.123
0.006945952 0.006945952 0.035971364 0.035971364 0.035971364 0.006945952 74.3057
0.006612351 0.006612351 0.034850361 0.034850361 0.034850361 0.006612351 75.5076
0.006298236 0.006298236 0.033761942 0.033761942 0.033761942 0.006298236 76.7289
0.005999434 0.005999434 0.032707027 0.032707027 0.032707027 0.005999434 77.9699
0.00571479 0.00571479 0.031684237 0.031684237 0.031684237 0.00571479 79.231
0.005441992 0.005441992 0.0306917 0.0306917 0.0306917 0.005441992 80.5125
0.00518183 0.00518183 0.029727579 0.029727579 0.029727579 0.00518183 81.8147
0.004933936 0.004933936 0.028791334 0.028791334 0.028791334 0.004933936 83.138
0.004697983 0.004697983 0.027882334 0.027882334 0.027882334 0.004697983 84.4827
0.004473516 0.004473516 0.027000051 0.027000051 0.027000051 0.004473516 85.8491
0.004259965 0.004259965 0.026143875 0.026143875 0.026143875 0.004259965 87.2377
0.004056616 0.004056616 0.025313231 0.025313231 0.025313231 0.004056616 88.6487
0.003862946 0.003862946 0.024507336 0.024507336 0.024507336 0.003862946 90.0825
0.003678408 0.003678408 0.023725483 0.023725483 0.023725483 0.003678408 91.5395
0.003502376 0.003502376 0.022966707 0.022966707 0.022966707 0.003502376 93.0201
0.003334904 0.003334904 0.022230329 0.022230329 0.022230329 0.003334904 94.5246
0.003175555 0.003175555 0.021515874 0.021515874 0.021515874 0.003175555 96.0535
0.003023934 0.003023934 0.020822859 0.020822859 0.020822859 0.003023934 97.6071
0.002879664 0.002879664 0.020151184 0.020151184 0.020151184 0.002879664 99.1858
0.002741041 0.002741041 0.019499949 0.019499949 0.019499949 0.002741041 100.79
0.002607867 0.002607867 0.018867179 0.018867179 0.018867179 0.002607867 102.42
0.002481269 0.002481269 0.018251928 0.018251928 0.018251928 0.002481269 104.077
0.002360891 0.002360891 0.017654633 0.017654633 0.017654633 0.002360891 105.76
0.002246645 0.002246645 0.017074136 0.017074136 0.017074136 0.002246645 107.471
0.002138721 0.002138721 0.016510808 0.016510808 0.016510808 0.002138721 109.209
0.002036578 0.002036578 0.015964389 0.015964389 0.015964389 0.002036578 110.975
0.00193963 0.00193963 0.015434428 0.015434428 0.015434428 0.00193963 112.77
0.00184716 0.00184716 0.0149205 0.0149205 0.0149205 0.00184716 114.594
0.001758642 0.001758642 0.014421476 0.014421476 0.014421476 0.001758642 116.448
0.0016743 0.0016743 0.013936945 0.013936945 0.013936945 0.0016743 118.331
0.001594013 0.001594013 0.013466096 0.013466096 0.013466096 0.001594013 120.245
0.001517617 0.001517617 0.013008629 0.013008629 0.013008629 0.001517617 122.19
0.001444932 0.001444932 0.01256418 0.01256418 0.01256418 0.001444932 124.166
0.001375701 0.001375701 0.012131913 0.012131913 0.012131913 0.001375701 126.175
0.001309847 0.001309847 0.011711851 0.011711851 0.011711851 0.001309847 128.215
0.001247159 0.001247159 0.011303012 0.011303012 0.011303012 0.001247159 130.289
0.001187478 0.001187478 0.01090576 0.01090576 0.01090576 0.001187478 132.397
0.001128261 0.001128261 0.010518416 0.010518416 0.010518416 0.001128261 134.538
0.001071949 0.001071949 0.010138757 0.010138757 0.010138757 0.001071949 136.714
0.001018477 0.001018477 0.009767026 0.009767026 0.009767026 0.001018477 138.925
0.000967691 0.000967691 0.009402357 0.009402357 0.009402357 0.000967691 141.172
0.000919456 0.000919456 0.009043593 0.009043593 0.009043593 0.000919456 143.456
0.00087366 0.00087366 0.008689449 0.008689449 0.008689449 0.00087366 145.776
0.000830245 0.000830245 0.008337569 0.008337569 0.008337569 0.000830245 148.134
0.000789148 0.000789148 0.007984876 0.007984876 0.007984876 0.000789148 150.53
0.000750281 0.000750281 0.007626161 0.007626161 0.007626161 0.000750281 152.964
0.000713342 0.000713342 0.0072507 0.0072507 0.0072507 0.000713342 155.439
0.000678257 0.000678257 0.00683407 0.00683407 0.00683407 0.000678257 157.953
0.000644928 0.000644928 0.006284606 0.006284606 0.006284606 0.000644928 160.507
0.000621662 0.000621662 0.004924272 0.004924272 0.004924272 0.000621662 162.4
0.001826719 0.001826719 0.004911816 0.004911816 0.004911816 0.001826719 162.6
0.001812943 0.001812943 0.005619843 0.005619843 0.005619843 0.001812943 163.103
0.001743256 0.001743256 0.006056333 0.006056333 0.006056333 0.001743256 165.742
0.001676406 0.001676406 0.006070797 0.006070797 0.006070797 0.001676406 168.422
0.00161222 0.00161222 0.005999464 0.005999464 0.005999464 0.00161222 171.146
0.001550585 0.001550585 0.005891778 0.005891778 0.005891778 0.001550585 173.915
0.001491452 0.001491452 0.005765438 0.005765438 0.005765438 0.001491452 176.727
0.001434649 0.001434649 0.005628751 0.005628751 0.005628751 0.001434649 179.586
0.001379871 0.001379871 0.005486714 0.005486714 0.005486714 0.001379871 182.491
0.001326116 0.001326116 0.005342217 0.005342217 0.005342217 0.001326116 185.442
0.00127204 0.00127204 0.005195329 0.005195329 0.005195329 0.00127204 188.442
0.001219822 0.001219822 0.005046642 0.005046642 0.005046642 0.001219822 191.489
0.001168795 0.001168795 0.004897189 0.004897189 0.004897189 0.001168795 194.587
0.001119722 0.001119722 0.004747422 0.004747422 0.004747422 0.001119722 197.734
0.001072551 0.001072551 0.004597879 0.004597879 0.004597879 0.001072551 200.932
0.001027453 0.001027453 0.004448855 0.004448855 0.004448855 0.001027453 204.182
0.000984328 0.000984328 0.004300558 0.004300558 0.004300558 0.000984328 207.485
0.000943113 0.000943113 0.004151749 0.004151749 0.004151749 0.000943113 210.84
0.000907396 0.000907396 0.004004468 0.004004468 0.004004468 0.000907396 214.251
0.000873927 0.000873927 0.003860414 0.003860414 0.003860414 0.000873927 217.716
0.000842536 0.000842536 0.003718875 0.003718875 0.003718875 0.000842536 221.237
0.000812631 0.000812631 0.003579635 0.003579635 0.003579635 0.000812631 224.816
0.000783891 0.000783891 0.003442234 0.003442234 0.003442234 0.000783891 228.452
0.000756255 0.000756255 0.003306093 0.003306093 0.003306093 0.000756255 232.147
0.000729671 0.000729671 0.003170705 0.003170705 0.003170705 0.000729671 235.902
0.000704105 0.000704105 0.00303552 0.00303552 0.00303552 0.000704105 239.717
0.000679501 0.000679501 0.002899835 0.002899835 0.002899835 0.000679501 243.595
0.000655557 0.000655557 0.002762887 0.002762887 0.002762887 0.000655557 247.535
0.000631553 0.000631553 0.002622683 0.002622683 0.002622683 0.000631553 251.538
0.000608546 0.000608546 0.002476836 0.002476836 0.002476836 0.000608546 255.607
0.000586505 0.000586505 0.002323021 0.002323021 0.002323021 0.000586505 259.741
0.000585171 0.000585171 0.002313114 0.002313114 0.002313114 0.000585171 260.0
0.000583631 0.000583631 0.002301595 0.002301595 0.002301595 0.000583631 260.3
0.000582097 0.000582097 0.002290024 0.002290024 0.002290024 0.000582097 260.6
0.000580569 0.000580569 0.002278398 0.002278398 0.002278398 0.000580569 260.9
0.000579045 0.000579045 0.002266716 0.002266716 0.002266716 0.000579045 261.2
0.000577528 0.000577528 0.002254974 0.002254974 0.002254974 0.000577528 261.5
0.000576015 0.000576015 0.002243171 0.002243171 0.002243171 0.000576015 261.8
0.000574509 0.000574509 0.002231304 0.002231304 0.002231304 0.000574509 262.1
0.000573007 0.000573007 0.00221937 0.00221937 0.00221937 0.000573007 262.4
0.000571511 0.000571511 0.002207367 0.002207367 0.002207367 0.000571511 262.7
0.00057002 0.00057002 0.002195292 0.002195292 0.002195292 0.00057002 263.0
0.000568535 0.000568535 0.002183141 0.002183141 0.002183141 0.000568535 263.3
0.000567054 0.000567054 0.002170912 0.002170912 0.002170912 0.000567054 263.6
0.00056558 0.00056558 0.002158598 0.002158598 0.002158598 0.00056558 263.9
0.00056412 0.00056412 0.0021462 0.0021462 0.0021462 0.00056412 264.2
0.000562667 0.000562667 0.00213372 0.00213372 0.00213372 0.000562667 264.5
0.000561219 0.000561219 0.002121154 0.002121154 0.002121154 0.000561219 264.8
0.000559776 0.000559776 0.002108495 0.002108495 0.002108495 0.000559776 265.1
0.000558338 0.000558338 0.002095741 0.002095741 0.002095741 0.000558338 265.4
0.000556906 0.000556906 0.002082886 0.002082886 0.002082886 0.000556906 265.7
0.000555478 0.000555478 0.002069927 0.002069927 0.002069927 0.000555478 266.0
0.000554056 0.000554056 0.00205686 0.00205686 0.00205686 0.000554056 266.3
0.000552638 0.000552638 0.002043681 0.002043681 0.002043681 0.000552638 266.6
0.000551225 0.000551225 0.002030383 0.002030383 0.002030383 0.000551225 266.9
0.000549818 0.000549818 0.002016964 0.002016964 0.002016964 0.000549818 267.2
0.000548415 0.000548415 0.002003416 0.002003416 0.002003416 0.000548415 267.5
0.000547017 0.000547017 0.001989735 0.001989735 0.001989735 0.000547017 267.8
0.000545624 0.000545624 0.001975913 0.001975913 0.001975913 0.000545624 268.1
0.000544243 0.000544243 0.001961945 0.001961945 0.001961945 0.000544243 268.4
0.00054287 0.00054287 0.001947831 0.001947831 0.001947831 0.00054287 268.7
0.000541503 0.000541503 0.001933565 0.001933565 0.001933565 0.000541503 269.0
0.000540139 0.000540139 0.001919138 0.001919138 0.001919138 0.000540139 269.3
0.000538781 0.000538781 0.001904543 0.001904543 0.001904543 0.000538781 269.6
0.000537427 0.000537427 0.001889772 0.001889772 0.001889772 0.000537427 269.9
0.000536079 0.000536079 0.001874817 0.001874817 0.001874817 0.000536079 270.2
0.000534735 0.000534735 0.00185967 0.00185967 0.00185967 0.000534735 270.5
0.000533395 0.000533395 0.001844323 0.001844323 0.001844323 0.000533395 270.8
0.00053206 0.00053206 0.001828767 0.001828767 0.001828767 0.00053206 271.1
0.00053073 0.00053073 0.001812993 0.001812993 0.001812993 0.00053073 271.4
0.000529404 0.000529404 0.001796993 0.001796993 0.001796993 0.000529404 271.7
0.000528082 0.000528082 0.001780759 0.001780759 0.001780759 0.000528082 272.0
0.000526765 0.000526765 0.001764291 0.001764291 0.001764291 0.000526765 272.3
0.00052543 0.00052543 0.001747601 0.001747601 0.001747601 0.00052543 272.6
0.000523983 0.000523983 0.001730616 0.001730616 0.001730616 0.000523983 272.9
0.000522541 0.000522541 0.001713259 0.001713259 0.001713259 0.000522541 273.2
0.000521104 0.000521104 0.001695561 0.001695561 0.001695561 0.000521104 273.5
0.000519672 0.000519672 0.001677508 0.001677508 0.001677508 0.000519672 273.8
0.000518244 0.000518244 0.001659086 0.001659086 0.001659086 0.000518244 274.1
0.000516823 0.000516823 0.001640276 0.001640276 0.001640276 0.000516823 274.4
0.000515406 0.000515406 0.001621057 0.001621057 0.001621057 0.000515406 274.7
0.000513994 0.000513994 0.001601407 0.001601407 0.001601407 0.000513994 275.0
0.000512587 0.000512587 0.0015813 0.0015813 0.0015813 0.000512587 275.3
0.000511184 0.000511184 0.001560708 0.001560708 0.001560708 0.000511184 275.6
0.000509787 0.000509787 0.001539603 0.001539603 0.001539603 0.000509787 275.9
0.000508395 0.000508395 0.001517952 0.001517952 0.001517952 0.000508395 276.2
0.000507007 0.000507007 0.001495722 0.001495722 0.001495722 0.000507007 276.5
0.000505625 0.000505625 0.001472895 0.001472895 0.001472895 0.000505625 276.8
0.000504182 0.000504182 0.001449419 0.001449419 0.001449419 0.000504182 277.1
0.000502673 0.000502673 0.001425173 0.001425173 0.001425173 0.000502673 277.4
0.000501169 0.000501169 0.001400084 0.001400084 0.001400084 0.000501169 277.7
0.000499671 0.000499671 0.001374116 0.001374116 0.001374116 0.000499671 278.0
0.000498178 0.000498178 0.001347199 0.001347199 0.001347199 0.000498178 278.3
0.000496691 0.000496691 0.001319252 0.001319252 0.001319252 0.000496691 278.6
0.000495209 0.000495209 0.001290179 0.001290179 0.001290179 0.000495209 278.9
0.000493731 0.000493731 0.001259869 0.001259869 0.001259869 0.000493731 279.2
0.000492259 0.000492259 0.001228186 0.001228186 0.001228186 0.000492259 279.5
0.000490793 0.000490793 0.001194959 0.001194959 0.001194959 0.000490793 279.8
0.000489331 0.000489331 0.00115965 0.00115965 0.00115965 0.000489331 280.1
0.000489667 0.000489667 0.001123627 0.001123627 0.001123627 0.000489667 280.4
0.000486538 0.000486538 0.001085807 0.001085807 0.001085807 0.000486538 280.7
0.000484854 0.000484854 0.001044008 0.001044008 0.001044008 0.000484854 281.0
0.000483445 0.000483445 0.000999756 0.000999756 0.000999756 0.000483445 281.3
0.000481576 0.000481576 0.000951489 0.000951489 0.000951489 0.000481576 281.6
0.000482631 0.000482631 0.000899858 0.000899858 0.000899858 0.000482631 281.9
0.000482285 0.000482285 0.000845715 0.000845715 0.000845715 0.000482285 282.2
0.000480272 0.000480272 0.000785279 0.000785279 0.000785279 0.000480272 282.5
0.000479032 0.000479032 0.000716912 0.000716912 0.000716912 0.000479032 282.8
0.000478109 0.000478109 0.000666517 0.000666517 0.000666517 0.000478109 283.0
0.000478014 0.000478014 0.000663396 0.000663396 0.000663396 0.000478014 283.012
0.000477901 0.000477901 0.000660004 0.000660004 0.000660004 0.000477901 283.025
0.000477771 0.000477771 0.000656665 0.000656665 0.000656665 0.000477771 283.038
0.000477448 0.000477448 0.000653617 0.000653617 0.000653617 0.000477448 283.05
0.000476897 0.000476897 0.000650108 0.000650108 0.000650108 0.000476897 283.063
