# beta  beta  delta  delta  beta  delta  energy
0.000000000000000000e+00 0.000000000000000000e+00 2.752558865984913554e-03 2.752558865984913554e-03 0.000000000000000000e+00 2.752558865984913554e-03 2.845100181455633219e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.752042663711883313e-03 2.752042663711883313e-03 0.000000000000000000e+00 2.752042663711883313e-03 2.845366841475573096e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.751526604391767768e-03 2.751526604391767768e-03 0.000000000000000000e+00 2.751526604391767768e-03 2.845633501495513542e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.751010687947306240e-03 2.751010687947306240e-03 0.000000000000000000e+00 2.751010687947306240e-03 2.845900161515453419e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.750494914300914088e-03 2.750494914300914088e-03 0.000000000000000000e+00 2.750494914300914088e-03 2.846166821535393865e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.749979283374691819e-03 2.749979283374691819e-03 0.000000000000000000e+00 2.749979283374691819e-03 2.846433481555333742e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.749463795090408176e-03 2.749463795090408176e-03 0.000000000000000000e+00 2.749463795090408176e-03 2.846700141575274188e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.748948449369495364e-03 2.748948449369495364e-03 0.000000000000000000e+00 2.748948449369495364e-03 2.846966801595214633e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.748433246133047316e-03 2.748433246133047316e-03 0.000000000000000000e+00 2.748433246133047316e-03 2.847233461615154511e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.747918185301801916e-03 2.747918185301801916e-03 0.000000000000000000e+00 2.747918185301801916e-03 2.847500121635094956e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.747403266796147065e-03 2.747403266796147065e-03 0.000000000000000000e+00 2.747403266796147065e-03 2.847766781655034833e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.746888490536102904e-03 2.746888490536102904e-03 0.000000000000000000e+00 2.746888490536102904e-03 2.848033441674975279e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.746373856441319643e-03 2.746373856441319643e-03 0.000000000000000000e+00 2.746373856441319643e-03 2.848300101694915156e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.745859364431065854e-03 2.745859364431065854e-03 0.000000000000000000e+00 2.745859364431065854e-03 2.848566761714855602e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.745345014424224999e-03 2.745345014424224999e-03 0.000000000000000000e+00 2.745345014424224999e-03 2.848833421734795479e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.744830806339284592e-03 2.744830806339284592e-03 0.000000000000000000e+00 2.744830806339284592e-03 2.849100081754735925e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.744316740094329687e-03 2.744316740094329687e-03 0.000000000000000000e+00 2.744316740094329687e-03 2.849366741774675802e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.743802815607028576e-03 2.743802815607028576e-03 0.000000000000000000e+00 2.743802815607028576e-03 2.849633401794616248e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.743289032794637115e-03 2.743289032794637115e-03 0.000000000000000000e+00 2.743289032794637115e-03 2.849900061814556125e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.742775391573970545e-03 2.742775391573970545e-03 0.000000000000000000e+00 2.742775391573970545e-03 2.850166721834496570e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.742261891861416060e-03 2.742261891861416060e-03 0.000000000000000000e+00 2.742261891861416060e-03 2.850433381854436448e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.741748533572903757e-03 2.741748533572903757e-03 0.000000000000000000e+00 2.741748533572903757e-03 2.850700041874376893e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.741235316623911403e-03 2.741235316623911403e-03 0.000000000000000000e+00 2.741235316623911403e-03 2.850966701894316770e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.740722240929445788e-03 2.740722240929445788e-03 0.000000000000000000e+00 2.740722240929445788e-03 2.851233361914257216e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.740209306404038387e-03 2.740209306404038387e-03 0.000000000000000000e+00 2.740209306404038387e-03 2.851500021934197662e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.739696512961730182e-03 2.739696512961730182e-03 0.000000000000000000e+00 2.739696512961730182e-03 2.851766681954137539e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.739183860516066459e-03 2.739183860516066459e-03 0.000000000000000000e+00 2.739183860516066459e-03 2.852033341974077985e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.738671348980079891e-03 2.738671348980079891e-03 0.000000000000000000e+00 2.738671348980079891e-03 2.852300001994017862e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.738158978266284037e-03 2.738158978266284037e-03 0.000000000000000000e+00 2.738158978266284037e-03 2.852566662013958307e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.737646748286661196e-03 2.737646748286661196e-03 0.000000000000000000e+00 2.737646748286661196e-03 2.852833322033898185e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.737134658952647230e-03 2.737134658952647230e-03 0.000000000000000000e+00 2.737134658952647230e-03 2.853099982053838630e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.736622710175126358e-03 2.736622710175126358e-03 0.000000000000000000e+00 2.736622710175126358e-03 2.853366642073778507e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.736110901864409906e-03 2.736110901864409906e-03 0.000000000000000000e+00 2.736110901864409906e-03 2.853633302093718953e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.735599233930232840e-03 2.735599233930232840e-03 0.000000000000000000e+00 2.735599233930232840e-03 2.853899962113658830e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.735087706281732513e-03 2.735087706281732513e-03 0.000000000000000000e+00 2.735087706281732513e-03 2.854166622133599276e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.734576318827443894e-03 2.734576318827443894e-03 0.000000000000000000e+00 2.734576318827443894e-03 2.854433282153539153e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.734065071475276585e-03 2.734065071475276585e-03 0.000000000000000000e+00 2.734065071475276585e-03 2.854699942173479599e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.733553964132510485e-03 2.733553964132510485e-03 0.000000000000000000e+00 2.733553964132510485e-03 2.854966602193419476e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.733042996705771499e-03 2.733042996705771499e-03 0.000000000000000000e+00 2.733042996705771499e-03 2.855233262213359922e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.732532169101024606e-03 2.732532169101024606e-03 0.000000000000000000e+00 2.732532169101024606e-03 2.855499922233300367e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.732021481223558240e-03 2.732021481223558240e-03 0.000000000000000000e+00 2.732021481223558240e-03 2.855766582253240244e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.731510932977959574e-03 2.731510932977959574e-03 0.000000000000000000e+00 2.731510932977959574e-03 2.856033242273180690e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.731000524268113218e-03 2.731000524268113218e-03 0.000000000000000000e+00 2.731000524268113218e-03 2.856299902293120567e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.730490254997167392e-03 2.730490254997167392e-03 0.000000000000000000e+00 2.730490254997167392e-03 2.856566562313061013e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.729980125067536963e-03 2.729980125067536963e-03 0.000000000000000000e+00 2.729980125067536963e-03 2.856833222333000890e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.729470134380866143e-03 2.729470134380866143e-03 0.000000000000000000e+00 2.729470134380866143e-03 2.857099882352941336e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.728960282838025896e-03 2.728960282838025896e-03 0.000000000000000000e+00 2.728960282838025896e-03 2.857366542372881213e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.728450570339084006e-03 2.728450570339084006e-03 0.000000000000000000e+00 2.728450570339084006e-03 2.857633202392821659e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.727940996783299009e-03 2.727940996783299009e-03 0.000000000000000000e+00 2.727940996783299009e-03 2.857899862412761536e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.727431562069085064e-03 2.727431562069085064e-03 0.000000000000000000e+00 2.727431562069085064e-03 2.858166522432701981e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.726922266094006751e-03 2.726922266094006751e-03 0.000000000000000000e+00 2.726922266094006751e-03 2.858433182452641859e+02
