# betaPara  betaPerp  deltaPara  deltaPerp  beta  delta  energy
2.627723946453122358e-04 2.627723946453110432e-04 1.982759182085670063e-03 1.962197018544899283e-03 2.627723946453136452e-04 1.873311566308119873e-03 2.798942163377096222e+02
2.639402175184343597e-04 2.639402175184334923e-04 1.976643944467309198e-03 1.956089672602280994e-03 2.639402175184352270e-04 1.866865864631249297e-03 2.799185097783421270e+02
2.651076310766432484e-04 2.651076310766425437e-04 1.969467480683096978e-03 1.948921555090110539e-03 2.651076310766465010e-04 1.859356550224300960e-03 2.799428032189746318e+02
2.662746354802709363e-04 2.662746354802702857e-04 1.960263025509548316e-03 1.939725910355390463e-03 2.662746354802738094e-04 1.849816830062774595e-03 2.799670966596070798e+02
2.674412308895859230e-04 2.674412308895855977e-04 1.945039827610717774e-03 1.924511996867864791e-03 2.674412308895850556e-04 1.834255924554351611e-03 2.799913901002395846e+02
2.686074174647721949e-04 2.686074174647723033e-04 1.928455866284590429e-03 1.907937803968244367e-03 2.686074174647739296e-04 1.817331784274594641e-03 2.800156835408720895e+02
2.697731953659427773e-04 2.697731953659432110e-04 1.945410564042609775e-03 1.924902764454857959e-03 2.697731953659440241e-04 1.833943802537103601e-03 2.800399769815045943e+02
2.709385647531336629e-04 2.709385647531340965e-04 1.948853268350272732e-03 1.928356236333748138e-03 2.709385647531375118e-04 1.837041297122665425e-03 2.800642704221370423e+02
2.721035257863156837e-04 2.721035257863127022e-04 1.949900591234401785e-03 1.929414842433048189e-03 2.721035257863157380e-04 1.837740849877723135e-03 2.800885638627695471e+02
2.732680786253762427e-04 2.732680786253737491e-04 1.949891870412056270e-03 1.929417931537775414e-03 2.732680786253759175e-04 1.837381767831499898e-03 2.801128573034020519e+02
2.744322234301295048e-04 2.744322234301302095e-04 1.949294650056482021e-03 1.928833059165086915e-03 2.744322234301314022e-04 1.836431563950412325e-03 2.801371507440344999e+02
2.755959603603230106e-04 2.755959603603242575e-04 1.948326552611666937e-03 1.927877859390258759e-03 2.755959603603246369e-04 1.835107828942922651e-03 2.801614441846670047e+02
2.767592895756230942e-04 2.767592895756211969e-04 1.947105978037507292e-03 1.926670744095282254e-03 2.767592895756241784e-04 1.833528930491489482e-03 2.801857376252995095e+02
2.779222112356211712e-04 2.779222112356191112e-04 1.945704117020104901e-03 1.925282916191109039e-03 2.779222112356216591e-04 1.831766026451308021e-03 2.802100310659319575e+02
2.790847254998439844e-04 2.790847254998422497e-04 1.944166879082732165e-03 1.923760297739605593e-03 2.790847254998470202e-04 1.829864992949519755e-03 2.802343245065644624e+02
2.802468325277349018e-04 2.802468325277338718e-04 1.942525446977952115e-03 1.922134084351326093e-03 2.802468325277377749e-04 1.827856978763762845e-03 2.802586179471969672e+02
2.814085324786649747e-04 2.814085324786634568e-04 1.940801864823248632e-03 1.920426333335819918e-03 2.814085324786637279e-04 1.825763993445790037e-03 2.802829113878294152e+02
2.825698255119384679e-04 2.825698255119373837e-04 1.939012218653654801e-03 1.918653144260865171e-03 2.825698255119399316e-04 1.823602087859941016e-03 2.803072048284619200e+02
2.837307117867778430e-04 2.837307117867774093e-04 1.937168552676864957e-03 1.916826575221658446e-03 2.837307117867790356e-04 1.821383270425147322e-03 2.803314982690944248e+02
2.848911914623354137e-04 2.848911914623353052e-04 1.935280078188483842e-03 1.914955851764628967e-03 2.848911914623393168e-04 1.819116716015047996e-03 2.803557917097269296e+02
2.860512646976864069e-04 2.860512646976859190e-04 1.933353965855822039e-03 1.913048159185601208e-03 2.860512646976861900e-04 1.816809558229144726e-03 2.803800851503593776e+02
2.872109316518402385e-04 2.872109316518404011e-04 1.931395881831339534e-03 1.911109178654634951e-03 2.872109316518397506e-04 1.814467425489789615e-03 2.804043785909918824e+02
2.883701924837258224e-04 2.883701924837263103e-04 1.929410360588945531e-03 1.909143460063244743e-03 2.883701924837278824e-04 1.812094813862768399e-03 2.804286720316243873e+02
2.895290473521972083e-04 2.895290473521973710e-04 1.927401070395451214e-03 1.907154687512697911e-03 2.895290473521985094e-04 1.809695352515247732e-03 2.804529654722568353e+02
2.906874964160436107e-04 2.906874964160407917e-04 1.925371006263435023e-03 1.905145872277291428e-03 2.906874964160446407e-04 1.807271996650165660e-03 2.804772589128893401e+02
2.918455398339731455e-04 2.918455398339705976e-04 1.923322632765489841e-03 1.903119495634140491e-03 2.918455398339735792e-04 1.804827170304421991e-03 2.805015523535218449e+02
