beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
7.106536695165173e-07	7.106536695165173e-07	3.923141574111768e-05	3.905667998142262e-05	3.911492523465431e-05	7.106536695165172e-07	2457.0
7.106538537039101e-07	7.106608461155516e-07	3.923081100068414e-05	3.905595697023029e-05	3.911424164704824e-05	7.106585153116711e-07	2457.01
7.10654037864761e-07	7.106628438756563e-07	3.923021125311807e-05	3.9055239812973534e-05	3.911356362635504e-05	7.106599085386911e-07	2457.02
7.106542219990701e-07	7.106700202360923e-07	3.92296133156415e-05	3.9054523516754127e-05	3.911288678304991e-05	7.106647541570849e-07	2457.03
7.106544061068389e-07	7.106771964561561e-07	3.922901651151293e-05	3.90538113231688e-05	3.911221305261684e-05	7.106695996730504e-07	2457.04
7.106545901880672e-07	7.10681768811668e-07	3.922842051917747e-05	3.905309985795289e-05	3.911154007836108e-05	7.106727092704677e-07	2457.05
7.106547742427561e-07	7.106889447721885e-07	3.922782514909573e-05	3.905238932223634e-05	3.9110867931189474e-05	7.10677554595711e-07	2457.06
7.106549582709061e-07	7.106935457863518e-07	3.922723027589605e-05	3.905168008805554e-05	3.911019681733571e-05	7.106806832812032e-07	2457.07
7.106551422725182e-07	7.106981178265026e-07	3.922663581041798e-05	3.905096966538765e-05	3.910952504706443e-05	7.106837926418412e-07	2457.08
7.10655326247592e-07	7.107052934080883e-07	3.922604168586761e-05	3.905026031089453e-05	3.910885410255222e-05	7.106886376879229e-07	2457.09
7.106555101961296e-07	7.107098652311014e-07	3.922544785033253e-05	3.904955146591345e-05	3.910818359405315e-05	7.106917468861109e-07	2457.1
7.106556941181303e-07	7.107170405531682e-07	3.922485426221709e-05	3.904884305599352e-05	3.9107513458068045e-05	7.10696591741489e-07	2457.11
7.106558780135957e-07	7.107216410336794e-07	3.9224260887492994e-05	3.904813551810871e-05	3.9106843974570136e-05	7.106997200269848e-07	2457.12
7.106560618825256e-07	7.10726212541363e-07	3.922366769765224e-05	3.904742638068917e-05	3.910617348634353e-05	7.107028289884172e-07	2457.13
7.106562457249214e-07	7.107333874845311e-07	3.922307466859294e-05	3.904671746365429e-05	3.910550319863384e-05	7.107076735646613e-07	2457.14
7.106564295407828e-07	7.107405622873545e-07	3.922248177950328e-05	3.904601065810564e-05	3.9104834365238186e-05	7.107125180384973e-07	2457.15
