beta_para beta_perp delta_para delta_perp delta beta energy
9.999018765839044e-05 9.999018765839044e-05 0.00039333773664312194 0.000394748909813559 0.0003942785187567467 9.999018765839044e-05 661.5
9.998689437609459e-05 9.99868966473671e-05 0.0003933063490562352 0.0003947181634549348 0.00039424755865536824 9.998689589027627e-05 661.5111330207598
9.99836012588525e-05 9.998360556237044e-05 0.00039327619244684337 0.00039468864355339864 0.0003942178265178802 9.998360412786447e-05 661.5222660415195
9.998030830665314e-05 9.998033317686883e-05 0.00039324649535507324 0.0003946595899572524 0.0003941885584231927 9.998032488679694e-05 661.5333990622793
9.997701551948494e-05 9.997704249472644e-05 0.0003932170944735204 0.000394630833510992 0.0003941595871651681 9.997703350297928e-05 661.544532083039
9.997372254164591e-05 9.997377054755998e-05 0.0003931879187987647 0.0003946022916050671 0.00039413083400296627 9.997375454558862e-05 661.5556651037988
9.99703943697839e-05 9.997049854309196e-05 0.0003931588961462363 0.00039457393415053227 0.0003941022548157669 9.997046381865595e-05 661.5667981245585
9.996710207885877e-05 9.996720846480018e-05 0.00039312999550865656 0.0003945457131860466 0.00039407380729358327 9.996717300281971e-05 661.5779311453183
9.99638099529209e-05 9.99639367145104e-05 0.00039310121955141083 0.00039451760961991416 0.0003940454795970797 9.996389446064722e-05 661.5890641660781
9.996051799195931e-05 9.996064703893849e-05 0.0003930725425716102 0.0003944896064316251 0.00039401725181162014 9.996060402327877e-05 661.6001971868378
9.995722619596293e-05 9.995737554279293e-05 0.0003930439479800035 0.0003944616889913829 0.0003939891086542564 9.995732576051625e-05 661.6113302075976
9.995393456492069e-05 9.99540862698869e-05 0.00039301541950233405 0.0003944338431073269 0.000393961035238996 9.995403570156483e-05 661.6224632283573
9.995064309882153e-05 9.995081546978343e-05 0.00039298692415785577 0.0003944060413286107 0.0003939330022716924 9.995075801279614e-05 661.6335962491171
9.994743436528137e-05 9.994760089090656e-05 0.0003929584838242309 0.0003943783188929429 0.0003939050405367056 9.994754538236482e-05 661.6447292698768
9.994425162145027e-05 9.994435810065043e-05 0.0003929301397651626 0.0003943506669668215 0.0003938771578996019 9.99443226075837e-05 661.6558622906366
9.994106903529717e-05 9.994115275778292e-05 0.00039290187465556317 0.00039432306859643834 0.0003938493372828133 9.994112485028766e-05 661.6669953113964
9.993788660674837e-05 9.993793870168094e-05 0.0003928736708485271 0.0003942955290932163 0.0003938215763449866 9.993792133670341e-05 661.6781283321561
9.99347031270275e-05 9.99347429260903e-05 0.0003928455185661148 0.00039426803102377434 0.0003937938602045545 9.993472965973604e-05 661.6892613529159
9.993150698357996e-05 9.993156802731617e-05 0.0003928173822342795 0.0003942405826486417 0.000393766182510521 9.99315476794041e-05 661.7003943736756
9.992839727964082e-05 9.992840540333194e-05 0.00039278928968133816 0.0003942131782598658 0.00039373854873368987 9.99284026954349e-05 661.7115273944354
9.992528772840163e-05 9.992528817242522e-05 0.0003927612758911468 0.0003941858383911219 0.0003937109842244635 9.992528802441735e-05 661.7226604151952
9.992218895060474e-05 9.992214907496725e-05 0.00039273331692516665 0.0003941585600974877 0.00039368347904004735 9.992216236684642e-05 661.733793435955
9.991910513489628e-05 9.991903373107584e-05 0.0003927054235556243 0.0003941313335187046 0.0003936560301976779 9.991905753234933e-05 661.7449264567148
9.99159960403755e-05 9.991589608028976e-05 0.00039267758347589197 0.0003941041602400605 0.0003936286346520043 9.991592940031834e-05 661.7560594774745
9.991288709862194e-05 9.991274952094443e-05 0.0003926497771000131 0.00039407700871953795 0.00039360126484636304 9.991279538017027e-05 661.7671924982343
9.990977830951778e-05 9.99096347466816e-05 0.00039262200685127115 0.00039404988969608703 0.00039357392874781507 9.990968260096033e-05 661.778325518994
9.990666967297606e-05 9.990653200764204e-05 0.0003925942680991406 0.00039402283034866965 0.00039354664293216 9.990657789608671e-05 661.7894585397538
9.990357223417199e-05 9.990340694805315e-05 0.0003925665615969805 0.0003939958214740036 0.0003935194015149959 9.990346204342608e-05 661.8005915605136
